temp_huan1,temp_21#bellow_sul,temp_20#bellow_sul,temp_24#bellow_nor,temp_23#bellow_nor,temp_22#bellow_nor,temp_21#bellow_nor,temp_20#bellow_nor,prequency_fan_2,pressure_flue_sul,pressure_flue_nor,temp_flue_nor,thickness,hun2_water,hun2_waterq,zhonghe,fankuang,SS_FeO_value,SS_FeO_value.1,SS_FeO_value.2
364.0,457.6,449.6,472.0,523.2,507.8,501.6,441.6,6.02,-13.608,-13.56,153.2,767.0654,6.2524,60.0,0.596535945,0.251097274,0.0,0.0,0.0
364.2,456.8,446.4,471.0,522.8,507.0,500.0,438.0,6.0126,-13.6012,-13.5482,153.6,763.6954,6.303,60.0,0.594538743,0.25342893,0.0,0.0,0.0
368.0,455.6,442.8,470.4,522.0,506.0,498.0,437.0,6.0228,-13.5944,-13.5422,153.8,763.3372,6.336,60.0,0.59379468,0.254664336,9.29,9.29,9.35
371.8,455.2,440.0,469.8,520.6,505.6,495.8,435.6,6.0492,-13.5954,-13.5324,154.2,763.7604,6.325,60.0,0.593003717,0.255790662,0.0,0.0,0.0
375.0,455.4,440.2,470.2,520.8,505.8,494.6,435.2,6.0544,-13.5936,-13.5304,154.4,770.3538,6.4444,60.0,0.592467427,0.256539997,0.0,0.0,0.0
376.6,457.6,442.6,470.2,521.2,506.4,495.0,434.8,6.069,-13.6022,-13.5314,154.6,772.34,6.3638,60.0,0.594187304,0.254208553,0.0,0.0,0.0
378.2,459.4,444.8,471.8,522.2,507.6,496.0,435.6,6.0654,-13.609,-13.5374,155.0,775.6938,6.2934,60.0,0.593564393,0.254285971,9.35,9.35,9.29
378.6,461.2,447.0,473.4,523.2,509.2,497.0,436.4,6.0618,-13.6158,-13.5434,155.4,779.0476,6.223,60.0,0.592941482,0.254363389,0.0,0.0,0.0
377.6,461.8,448.4,475.0,524.8,510.8,498.2,437.6,6.042,-13.6148,-13.5532,155.6,776.101,6.1614,60.0,0.592017035,0.255290376,0.0,0.0,0.0
374.6,461.0,447.2,475.8,525.2,511.8,500.0,439.4,5.995,-13.6148,-13.5668,155.6,771.0216,6.1298,60.0,0.593822615,0.253505567,0.0,0.0,0.0
370.0,460.2,448.0,477.0,526.2,512.2,501.0,443.0,5.9774,-13.612,-13.5728,155.2,774.1474,6.1166,60.0,0.592849514,0.25470539,9.29,9.29,9.2
365.4,459.8,449.0,477.2,526.6,512.6,501.4,445.4,5.978,-13.611,-13.5738,154.6,775.9056,6.0932,60.0,0.594219202,0.253496352,0.0,0.0,0.0
360.8,460.0,450.0,477.4,527.0,513.0,502.6,447.8,5.9304,-13.612,-13.5728,154.4,771.982,6.1378,60.0,0.595417728,0.251571091,0.0,0.0,0.0
357.8,461.2,453.0,477.8,527.4,513.4,504.2,450.0,5.9384,-13.6138,-13.5688,154.0,767.3584,6.1356,60.0,0.596660016,0.249797396,0.0,0.0,0.0
356.4,463.8,457.0,478.4,528.0,514.0,505.2,451.6,5.9736,-13.6146,-13.561,153.8,764.8676,6.1034,60.0,0.595172277,0.250735497,9.2,9.2,9.24
356.6,465.2,459.0,478.6,528.0,514.0,506.4,452.2,5.9744,-13.6234,-13.557,154.2,762.4582,6.1458,60.0,0.595044877,0.250170841,0.0,0.0,0.0
355.8,466.6,461.0,479.4,528.0,514.0,507.6,452.8,5.9752,-13.6322,-13.553,154.6,760.0488,6.1882,60.0,0.594917478,0.249606185,0.0,0.0,0.0
355.0,467.0,462.4,480.2,528.6,513.6,508.6,453.4,6.0916,-13.641,-13.5568,154.4,763.3212,6.1626,60.0,0.59496124,0.249757752,0.0,0.0,0.0
354.0,466.4,461.8,480.8,529.2,514.4,509.2,454.2,6.1524,-13.649,-13.5636,154.4,766.74,6.238,60.0,0.595511429,0.249514225,9.24,9.24,9.3
352.4,465.8,461.6,481.4,530.0,515.4,510.6,453.8,6.1612,-13.657,-13.5714,154.4,770.3542,6.3112,60.0,0.595043665,0.249981489,0.0,0.0,0.0
350.6,465.2,461.0,482.2,530.8,515.0,511.0,452.8,6.1846,-13.6618,-13.5832,154.0,772.4868,6.2344,60.0,0.595102826,0.250785947,0.0,0.0,0.0
349.8,464.6,460.4,482.4,531.6,514.6,511.4,451.8,6.208,-13.6666,-13.595,153.6,774.6194,6.1576,60.0,0.595161986,0.251590405,0.0,0.0,0.0
349.0,463.8,459.6,482.0,530.4,514.0,510.6,451.6,6.1348,-13.6656,-13.602,153.6,770.533,6.0808,60.0,0.594785222,0.252233136,9.3,9.3,9.32
349.0,463.0,457.8,481.4,529.8,512.4,509.8,452.0,6.0564,-13.6656,-13.604,153.6,769.0352,5.9498,60.0,0.594097545,0.253082495,0.0,0.0,0.0
349.6,461.0,456.2,480.8,528.6,510.8,508.0,452.6,6.066,-13.6576,-13.6148,153.4,764.6722,5.96,60.0,0.594643945,0.253108214,0.0,0.0,0.0
349.6,459.6,455.0,479.0,527.0,510.8,507.2,453.0,6.0484,-13.643,-13.607,153.2,761.4162,6.0984,60.0,0.595648042,0.250968645,0.0,0.0,0.0
